id,acronym,expansion
0,2day,today
1,2m2h,too much too handle
2,2moro,tomorrow
3,2nite,tonight
4,4eae,for ever and ever
5,aaf,as a friend
6,aar,at any rate
7,aayf,as always your friend
8,abd,already been done
9,ack,acknowledge
10,adih,another day in hell
11,adn,any day now
12,adr,address
13,aeap,as early as possible
14,afaic,as far as i am concerned
15,afaik,as far as i know
16,aka,also known as
17,ama,ask me anything
18,ambw,all my best wishes
19,aml,all my love
20,aota,all of the above
21,asap,as soon as possible
22,atb,all the best
23,ateotd,at the end of the day
24,atm,at the moment
25,awol,absent without leave
26,aydy,are you done yet
27,ayec,at your earliest convenience
28,ayor,at your own risk
29,ays,are you serious
30,aysos,are you stupid or something
31,ayt,are you there
32,b/c,because
33,b4,before
34,b4n,bye for now
35,bau,business as usual
36,bbiaf,be back in a few
37,bbiam,be back in a minute
38,bbias,be back in a sec
39,bbs,be back soon
40,bbt,be back tomorrow
41,bcnu,be seeing you
42,bcoy,big crush on you
43,bd,big deal
44,bf,boy friend
45,bfaw,best friend at work
46,bfd,big freaking deal
47,bff,best friends forever
48,bffn,best friend for now
49,bfn,bye for now
50,bg,big grin
51,bgwm,be gentle with me
52,bhl8,be home late
53,bib,boss is back
54,bn,bad news
55,bol,be on later
56,bot,back on topic
57,boyf,boyfriend
58,brb,be right back
59,brh,be right here
60,bro,brother
61,brt,be right there
62,bt,but
63,btw,by the way
64,byoc,bring your own computer
65,cmb,call me back
66,cmiiw,correct me if i am wrong
67,cob,close of business
68,csl,cannot stop laughing
69,cu,see you
70,cua,see you around
71,cul,see you later
72,cwyl,chat with you later
73,cya,cover your ass
74,cye,check your e mail
75,cyo,see you online
76,dkdc,do not know do not care
77,dm,direct message
78,dts,do not think so
79,dur,do you remember
80,dwbh,do not worry be happy
81,e1,everyone
82,ef4t,effort
83,eod,end of discussion
84,f2f,face to face
85,ftf,face to face
86,faq,frequently asked questions
87,fb,facebook
88,ff,follow friday
89,fish,first in still here
90,fitb,fill in the blank
91,ftbomh,from the bottom of my heart
92,ftl,for the loss
93,ftw,for the win
94,fwb,friend with benefits
95,fwiw,for what it is worth
96,fyeo,for your eyes only
97,fyi,for your information
98,g4c,going for coffee
99,ga,go ahead
100,gac,get a clue
101,gas,greetings and salutations
102,gb,goodbye
103,gbu,god bless you
104,gf,girl friend
105,gfn,gone for now
106,glhf,good luck have fun
107,gmta,great minds think alike
108,gnite,good night
109,gr8,great
110,gratz,congratulations
