,word,type
0,God,nonslang
1,annihilated,nonslang
2,balling,nonslang
3,bastard,nonslang
4,beef,nonslang
5,bloody,nonslang
6,bomb,nonslang
7,book,nonslang
8,bookmark,nonslang
9,booty,nonslang
10,bounce,nonslang
11,bowl,nonslang
12,brains,nonslang
13,candle,nonslang
14,chicken,nonslang
15,90080826,nonslang
16,classic,nonslang
17,compy,nonslang
18,crock,nonslang
19,crossfade,nonslang
20,decompress,nonslang
21,dim,nonslang
22,dirt,nonslang
23,dose,nonslang
24,down,nonslang
25,egg,nonslang
26,ent,nonslang
27,eye,nonslang
28,fat,nonslang
29,fence,nonslang
30,fire,nonslang
31,fluffer,nonslang
32,foxy,nonslang
33,freckle,nonslang
34,fruitcake,nonslang
35,gag,nonslang
36,ghost,nonslang
37,gig,nonslang
38,gnarly,nonslang
39,gridlock,nonslang
40,grip,nonslang
41,grub,nonslang
42,155457506,nonslang
43,gumby,nonslang
44,hanger,nonslang
45,head,nonslang
46,hell,nonslang
47,hitter,nonslang
48,item,nonslang
49,19323851,nonslang
50,jammed,nonslang
51,jill,nonslang
52,jock,nonslang
53,kick,nonslang
54,kosher,nonslang
55,locks,nonslang
56,mad,nonslang
57,mine,nonslang
58,14550792,nonslang
59,money,nonslang
60,move,nonslang
61,mule,nonslang
62,peace,nonslang
63,pecker,nonslang
64,peckish,nonslang
65,peeper,nonslang
66,pig,nonslang
67,pinch,nonslang
68,plums,nonslang
69,postal,nonslang
70,rad,nonslang
71,ratchet,nonslang
72,roadkill,nonslang
73,sassy,nonslang
74,sausage,nonslang
75,30498976,nonslang
76,scissor,nonslang
77,scoot,nonslang
78,scream,nonslang
79,screaming,nonslang
80,skeeter,nonslang
81,slack-jawed,nonslang
82,smoked,nonslang
83,sneak,nonslang
84,split,nonslang
85,sport,nonslang
86,squawk,nonslang
87,stat,nonslang
88,52106663,nonslang
89,stew,nonslang
90,streak,nonslang
91,styling,nonslang
92,swap,nonslang
93,thick,nonslang
94,thirsty,nonslang
95,threads,nonslang
96,tool,nonslang
97,toots,nonslang
98,tweaker,nonslang
99,walk,nonslang
100,walkie,nonslang
101,whippet,nonslang
102,12455292,nonslang
103,windy,nonslang
104,wrecked,nonslang
105,zombie,nonslang
106,zounds,nonslang
120,,nonslang
133,984244620316954624,nonslang
197,1218983957678690309,nonslang
210,admitting,nonslang
211,adulterous,nonslang
212,agenda,nonslang
213,alanine,nonslang
214,allotted,nonslang
215,93567281,nonslang
216,anticlockwise,nonslang
217,antipathies,nonslang
218,avoiders,nonslang
219,awesome,nonslang
220,banzai,nonslang
221,bedchambers,nonslang
222,bicolour,nonslang
223,bright,nonslang
224,butane,nonslang
225,calorie,nonslang
226,21353623,nonslang
227,camara,nonslang
228,chug,nonslang
229,clinkstone,nonslang
230,committeeman,nonslang
231,competencies,nonslang
232,conferral,nonslang
233,conniption,nonslang
234,contenders,nonslang
235,conventionally,nonslang
236,copyediting,nonslang
237,cytometer,nonslang
238,deathblow,nonslang
239,decomposition,nonslang
240,despoil,nonslang
241,didot,nonslang
242,doubleheader,nonslang
243,dysthymic,nonslang
244,echo,nonslang
245,enhancements,nonslang
246,epilator,nonslang
247,estimated,nonslang
248,extravasated,nonslang
249,fiddled,nonslang
250,galavant,nonslang
251,glutton,nonslang
252,greeting,nonslang
253,grisly,nonslang
254,groans,nonslang
255,guardian,nonslang
256,haircut,nonslang
257,heaviest,nonslang
258,hemosiderin,nonslang
259,humblest,nonslang
260,ignites,nonslang
261,inclusive,nonslang
262,intimidator,nonslang
263,jugglers,nonslang
264,jute,nonslang
265,17850018,nonslang
266,lawlessness,nonslang
267,legalist,nonslang
268,milepost,nonslang
269,minmax,nonslang
270,mistreatment,nonslang
271,moldovan,nonslang
272,morphology,nonslang
273,mushroom,nonslang
274,nonskid,nonslang
275,outlawing,nonslang
276,paleontology,nonslang
277,pantsuit,nonslang
278,peppy,nonslang
279,performative,nonslang
280,postural,nonslang
281,protocol,nonslang
282,reedbed,nonslang
283,rehabilitations,nonslang
284,repentant,nonslang
285,rufescent,nonslang
286,rump,nonslang
287,sabertooth,nonslang
288,sailor,nonslang
289,scallywag,nonslang
290,scheme,nonslang
291,sculptured,nonslang
292,scummiest,nonslang
293,sensuousness,nonslang
294,shield,nonslang
295,shylock,nonslang
296,snug,nonslang
297,squall,nonslang
298,steeple,nonslang
299,6103022,nonslang
300,strap,nonslang
301,subtended,nonslang
302,superabundance,nonslang
303,sympathizer,nonslang
304,telogen,nonslang
305,terrifies,nonslang
306,they,nonslang
307,timbral,nonslang
308,trampolining,nonslang
309,underpainting,nonslang
310,underrated,nonslang
311,unicorn,nonslang
312,unlike,nonslang
313,unmatched,nonslang
314,unutilized,nonslang
315,upgrade,nonslang
316,uria,nonslang
317,vanadium,nonslang
318,weimaraner,nonslang
424,AWOL,nonslang
425,BFFL,nonslang
426,Baltimoron,nonslang
427,Bible-thumping,nonslang
428,Brotox,nonslang
429,CBA,nonslang
430,DFTBA,nonslang
431,F2F,nonslang
432,GLHF,nonslang
433,54892448,nonslang
435,IBT,nonslang
436,KMT,nonslang
437,McDreamy,nonslang
438,SCNR,nonslang
439,SWF,nonslang
440,TBA,nonslang
441,YooKay,nonslang
442,a-list,nonslang
444,badass,nonslang
445,blankie,nonslang
446,bling,nonslang
447,blowjob,nonslang
448,blumpkin,nonslang
449,bodice-ripper,nonslang
451,bonehead,nonslang
454,bro,slang
455,bromance,nonslang
456,bumfuck,nonslang
457,bupkis,nonslang
458,carny,nonslang
459,celebutante,nonslang
460,chillax,nonslang
461,chones,nonslang
462,36711312,nonslang
463,colitas,nonslang
464,compo,nonslang
467,crappy,nonslang
470,crowdsourcing,nonslang
471,dafuq,nonslang
472,dang,nonslang
473,dis,nonslang
474,dogg,nonslang
475,duckface,nonslang
476,dudette,nonslang
478,43124802,nonslang
479,fanboy,nonslang
480,fap,nonslang
481,fidiot,nonslang
483,flutterby,nonslang
486,gangsta,nonslang
487,gansta,nonslang
488,gayborhood,nonslang
489,glitterati,nonslang
490,143831426,nonslang
492,gorp,nonslang
493,gotsta,nonslang
496,193954045,nonslang
